t,pid,name,src,dst,cur,act,hop,nCand,masked,qAct,delayAct,rhoAct,relAct,tremAct,reward,done,failCode
10,0,global_dijkstra,3,9,3,9,1,96,0,0,10.3819660112501,0.0186477708239453,0.992762267501127,6,2.48136581523849,1,0
10,0,global_dijkstra,22,9,22,16,1,96,0,0,10.0080514120095,0.0182525218046875,0.992809697383437,9,-0.407878910607669,0,0
10,0,global_dijkstra,4,9,4,10,1,96,0,14,10.1980622641952,0.0162476352301172,0.993050283772386,7,-0.856656437231669,0,0
10,0,global_dijkstra,11,9,11,10,1,96,0,15,8.88167787843871,0.0522385555970899,0.988731373328349,999,-0.620327336503761,0,0
10,0,global_dijkstra,3,9,3,9,1,96,0,0,10.3819660112501,0.0286477708239453,0.991562267501127,6,2.47142581523849,1,0
10,0,global_dijkstra,18,9,18,17,1,96,0,1,8.65082560867634,0.0320148646804687,0.991158216238344,999,-0.199793485355632,0,0
11,0,global_dijkstra,3,5,3,4,1,96,0,0,8.88167787843871,0.00277938220410254,0.994666474135508,999,-0.154498251484465,0,0
11,0,global_dijkstra,13,3,13,14,1,96,0,0,9.25185988058195,0.00743466629824316,0.994107840044211,999,-0.177634703981203,0,0
11,0,global_dijkstra,12,23,12,11,1,96,0,0,8.39905526835001,0.0163425625,0.9930388925,999,-0.143848922194152,0,0
11,0,global_dijkstra,10,5,10,11,1,96,0,1,8.65082560867634,0.0397312055783994,0.990232255330592,999,-0.207463528208175,0,0
11,0,global_dijkstra,20,16,20,21,1,96,0,1,9.08419229574109,0.0135476756144941,0.993374278926261,999,-0.203105433777291,0,0
11,0,global_dijkstra,15,9,15,9,1,96,0,0,10.0720742786083,0.0425520929095733,0.989893748850851,7,2.51238522000318,1,0
11,0,global_dijkstra,3,9,3,9,1,96,0,0,10.1980622641952,0.0212562739531699,0.99244924712562,6,2.48796815048079,1,0
11,0,global_dijkstra,12,9,12,11,1,96,0,2,8.39905526835001,0.0263425625,0.9918388925,999,-0.209344477749708,0,0
11,0,global_dijkstra,10,9,10,9,1,96,0,0,8.88167787843871,0.0786727778729717,0.985559266655243,999,2.77006371322068,1,0
11,0,global_dijkstra,6,9,6,5,1,96,0,0,8.39905526835001,0.00396539201621192,0.994524152958055,999,-0.131546014733267,0,0
11,0,global_dijkstra,6,9,6,5,1,96,0,1,8.39905526835001,0.0139653920162119,0.993324152958055,999,-0.169263792511045,0,0
11,0,global_dijkstra,4,9,4,10,1,96,0,17,10.0720742786083,0.0144361993765645,0.993267656074812,7,-0.931889804047228,0,0
11,0,global_dijkstra,18,9,18,17,1,96,0,1,8.39905526835001,0.0231081755742578,0.992227018931089,999,-0.178351719367742,0,0
11,0,global_dijkstra,3,9,3,9,1,96,0,0,10.1980622641952,0.0312562739531699,0.99124924712562,6,2.47802815048079,1,0
