episode,phase,scenario,status,delivered,dropped,hops,total_reward,control_overhead_ratio
261,train,low_load,ttl_exceeded,0,1,12,-15.245675824347453,0.01064
262,train,medium_load,delivered,1,0,8,-5.61575090563416,0.010752
263,train,hotspot_high_load,ttl_exceeded,0,1,12,-17.026946759538163,0.01064
264,train,frequent_break,delivered,1,0,5,-3.0420563589094325,0.010752
265,train,fault_links,delivered,1,0,2,-0.2529593450254519,0.010752
266,train,low_load,ttl_exceeded,0,1,12,-16.971902362894973,0.01064
267,train,medium_load,delivered,1,0,7,-5.358653429732538,0.010752
268,train,hotspot_high_load,ttl_exceeded,0,1,12,-16.97275005792485,0.01064
269,train,frequent_break,no_valid_action,0,1,2,-2.4151134245052726,0.010752
270,train,fault_links,no_valid_action,0,1,11,-13.703268056267508,0.010690909090909091
271,train,low_load,ttl_exceeded,0,1,12,-17.311092178533045,0.01064
272,train,medium_load,delivered,1,0,11,-10.805601294463978,0.010690909090909091
273,train,hotspot_high_load,delivered,1,0,5,-3.893048153440003,0.010752
274,train,frequent_break,no_valid_action,0,1,9,-10.765168704734176,0.010752
275,train,fault_links,delivered,1,0,4,-2.568804413052181,0.010752
276,train,low_load,ttl_exceeded,0,1,12,-17.345378773598476,0.01064
277,train,medium_load,delivered,1,0,12,-12.956798969194189,0.01064
278,train,hotspot_high_load,delivered,1,0,4,-3.0135651507438443,0.010752
279,train,frequent_break,delivered,1,0,8,-6.438322417396996,0.010752
280,train,fault_links,delivered,1,0,2,0.46000627782758463,0.010752
281,train,low_load,delivered,1,0,1,1.3533932041307901,0.010752
282,train,medium_load,ttl_exceeded,0,1,12,-18.221525010874615,0.01064
283,train,hotspot_high_load,delivered,1,0,10,-9.602712258685381,0.0107296
284,train,frequent_break,delivered,1,0,4,-1.8023142125389857,0.010752
285,train,fault_links,delivered,1,0,9,-7.534138922810101,0.010752
286,train,low_load,delivered,1,0,1,0.565,0.010752
287,train,medium_load,delivered,1,0,5,-2.910697819929137,0.010752
288,train,hotspot_high_load,delivered,1,0,6,-4.296875889197194,0.010752
289,train,frequent_break,no_valid_action,0,1,4,-3.939091024059927,0.010752
290,train,fault_links,delivered,1,0,11,-10.244068268328554,0.010690909090909091
291,train,low_load,delivered,1,0,11,-10.291888048063809,0.010690909090909091
292,train,medium_load,delivered,1,0,12,-11.589549214970695,0.01064
293,train,hotspot_high_load,delivered,1,0,2,-0.4069763868230387,0.010752
294,train,frequent_break,no_valid_action,0,1,8,-8.901304686333674,0.010752
295,train,fault_links,delivered,1,0,10,-9.15397787352157,0.0107296
296,train,low_load,delivered,1,0,8,-8.309524521546567,0.010752
297,train,medium_load,delivered,1,0,4,-2.700610269954845,0.010752
298,train,hotspot_high_load,ttl_exceeded,0,1,12,-18.113948943729646,0.01064
299,train,frequent_break,no_valid_action,0,1,9,-10.861799325903938,0.010752
300,train,fault_links,no_valid_action,0,1,5,-7.180514951252783,0.010752
300,eval,low_load,delivered,1,0,2,0.5417423122281877,0.010752
300,eval,medium_load,delivered,1,0,1,0.6650760222723293,0.010752
300,eval,hotspot_high_load,delivered,1,0,1,0.6650760222723293,0.010752
300,eval,frequent_break,delivered,1,0,3,-1.1959122539709006,0.010752
300,eval,fault_links,delivered,1,0,1,0.6650760222723293,0.010752
301,train,low_load,delivered,1,0,1,0.565,0.010752
302,train,medium_load,delivered,1,0,2,-0.7840066129994272,0.010752
303,train,hotspot_high_load,delivered,1,0,6,-5.140279671585605,0.010752
304,train,frequent_break,no_valid_action,0,1,5,-7.344365890629955,0.010752
305,train,fault_links,ttl_exceeded,0,1,12,-17.252527363101148,0.01064
306,train,low_load,ttl_exceeded,0,1,12,-16.64291083866241,0.01064
307,train,medium_load,ttl_exceeded,0,1,12,-16.552893835165396,0.01064
308,train,hotspot_high_load,delivered,1,0,6,-4.719011862873806,0.010752
309,train,frequent_break,no_valid_action,0,1,10,-12.15126862015094,0.0107296
310,train,fault_links,ttl_exceeded,0,1,12,-17.419534166863034,0.01064
311,train,low_load,delivered,1,0,9,-8.626740661438781,0.010752
312,train,medium_load,delivered,1,0,10,-9.399145050533175,0.0107296
313,train,hotspot_high_load,ttl_exceeded,0,1,12,-17.48120893903585,0.01064
314,train,frequent_break,no_valid_action,0,1,5,-4.374433581159669,0.010752
315,train,fault_links,delivered,1,0,8,-9.168527889248107,0.010752
316,train,low_load,delivered,1,0,2,0.5067864082615803,0.010752
317,train,medium_load,delivered,1,0,3,-1.615360828480477,0.010752
318,train,hotspot_high_load,ttl_exceeded,0,1,12,-16.01290344190681,0.01064
319,train,frequent_break,no_valid_action,0,1,5,-5.51395875017686,0.010752
320,train,fault_links,ttl_exceeded,0,1,12,-17.596851064795665,0.01064
321,train,low_load,delivered,1,0,11,-10.671737020169084,0.010690909090909091
322,train,medium_load,ttl_exceeded,0,1,12,-16.320988860820723,0.01064
323,train,hotspot_high_load,delivered,1,0,8,-7.149335988188788,0.010752
324,train,frequent_break,delivered,1,0,3,-1.8544989549504907,0.010752
325,train,fault_links,delivered,1,0,11,-10.682724099092743,0.010690909090909091
326,train,low_load,delivered,1,0,5,-3.5141504268545907,0.010752
327,train,medium_load,ttl_exceeded,0,1,12,-17.828490774084194,0.01064
328,train,hotspot_high_load,delivered,1,0,6,-5.2510002824358954,0.010752
329,train,frequent_break,no_valid_action,0,1,5,-6.008647771580227,0.010752
330,train,fault_links,ttl_exceeded,0,1,12,-17.5609160238956,0.01064
331,train,low_load,ttl_exceeded,0,1,12,-16.479832531692374,0.01064
332,train,medium_load,delivered,1,0,2,-0.2529593450254519,0.010752
333,train,hotspot_high_load,delivered,1,0,2,0.5446323287817596,0.010752
334,train,frequent_break,delivered,1,0,5,-2.813118293499163,0.010752
335,train,fault_links,delivered,1,0,1,1.3533932041307901,0.010752
336,train,low_load,delivered,1,0,4,-1.9496916906941952,0.010752
337,train,medium_load,delivered,1,0,9,-8.968214668559247,0.010752
338,train,hotspot_high_load,delivered,1,0,2,0.4791382781424953,0.010752
339,train,frequent_break,no_valid_action,0,1,2,-2.4437608753490307,0.010752
340,train,fault_links,delivered,1,0,10,-8.887947020674579,0.0107296
341,train,low_load,delivered,1,0,7,-6.275357813705635,0.010752
342,train,medium_load,ttl_exceeded,0,1,12,-15.971336810319784,0.01064
343,train,hotspot_high_load,ttl_exceeded,0,1,12,-16.593969279002188,0.01064
344,train,frequent_break,delivered,1,0,2,0.5446323287817596,0.010752
345,train,fault_links,delivered,1,0,12,-12.639580163633807,0.01064
