scenario,policy,policy_seed,workload_seed,generated,delivered,dropped,backlog,delivery_ratio,drop_rate,throughput_packets_per_slot,average_delay_slots,p95_delay_slots,mean_queue_packets,max_queue_packets,routing_switches,episode_reward,class_0_delivery_ratio,class_1_delivery_ratio,class_2_delivery_ratio
medium_load,full_heuristic,-1,11008,192,65,24,103,0.3385416666666667,0.125,2.1666666666666665,8.246153846153845,20.0,2.4625,10,96,-22.823178656348333,0.37755102040816324,0.3333333333333333,0.23529411764705882
medium_load,full_heuristic,-1,11009,192,67,31,94,0.3489583333333333,0.16145833333333334,2.2333333333333334,7.432835820895522,16.0,2.2888888888888888,10,85,-23.07532618672794,0.4,0.23728813559322035,0.39473684210526316
medium_load,full_heuristic,-1,11010,192,59,35,98,0.3072916666666667,0.18229166666666666,1.9666666666666666,8.220338983050848,18.399999999999977,2.4916666666666667,10,79,-24.47589046399711,0.2857142857142857,0.30303030303030304,0.35714285714285715
medium_load,full_heuristic,-1,11011,192,67,27,98,0.3489583333333333,0.140625,2.2333333333333334,8.552238805970148,20.0,2.4430555555555555,13,74,-23.358995700182657,0.3902439024390244,0.3181818181818182,0.3181818181818182
medium_load,full_heuristic,-1,11012,192,65,29,98,0.3385416666666667,0.15104166666666666,2.1666666666666665,7.7846153846153845,18.0,2.4180555555555556,13,69,-24.07135188722094,0.3595505617977528,0.3559322033898305,0.2727272727272727
medium_load,full_heuristic,-1,11013,192,71,26,95,0.3697916666666667,0.13541666666666666,2.3666666666666667,7.873239436619718,20.0,2.379166666666667,11,59,-22.29420348763323,0.40625,0.30158730158730157,0.3939393939393939
medium_load,full_heuristic,-1,11014,192,65,25,102,0.3385416666666667,0.13020833333333334,2.1666666666666665,9.092307692307692,20.0,2.5388888888888888,10,83,-23.437380176448855,0.3333333333333333,0.2962962962962963,0.40476190476190477
medium_load,full_heuristic,-1,11015,192,85,17,90,0.4427083333333333,0.08854166666666667,2.8333333333333335,7.858823529411764,17.599999999999994,2.1944444444444446,9,54,-20.1806002659312,0.4431818181818182,0.4067796610169492,0.4888888888888889
medium_load,full_heuristic,-1,11016,192,66,26,100,0.34375,0.13541666666666666,2.2,8.93939393939394,20.0,2.4805555555555556,10,97,-22.46606442733784,0.4056603773584906,0.19607843137254902,0.37142857142857144
medium_load,full_heuristic,-1,11017,192,65,31,96,0.3385416666666667,0.16145833333333334,2.1666666666666665,9.892307692307693,20.0,2.536111111111111,11,86,-23.844016709263524,0.3548387096774194,0.25,0.45714285714285713
medium_load,full_heuristic,-1,11018,192,59,34,99,0.3072916666666667,0.17708333333333334,1.9666666666666666,7.627118644067797,17.0,2.4875,10,85,-26.07259959575483,0.26744186046511625,0.3380281690140845,0.34285714285714286
medium_load,full_heuristic,-1,11019,192,58,42,92,0.3020833333333333,0.21875,1.9333333333333333,7.931034482758621,16.749999999999993,2.433333333333333,8,77,-25.779673530534588,0.3877551020408163,0.21666666666666667,0.20588235294117646
medium_load,full_heuristic,-1,11020,192,63,28,101,0.328125,0.14583333333333334,2.1,7.222222222222222,16.0,2.4166666666666665,10,85,-22.634120943762372,0.3300970873786408,0.30612244897959184,0.35
medium_load,random,-1,11001,192,45,42,105,0.234375,0.21875,1.5,9.6,19.799999999999997,2.9027777777777777,14,209,-38.671521792402366,0.29545454545454547,0.2,0.1590909090909091
medium_load,random,-1,11002,192,33,46,113,0.171875,0.23958333333333334,1.1,8.090909090909092,20.799999999999997,2.8944444444444444,17,210,-39.67520462918164,0.1590909090909091,0.2,0.14705882352941177
medium_load,random,-1,11003,192,37,54,101,0.19270833333333334,0.28125,1.2333333333333334,10.216216216216216,19.199999999999996,2.841666666666667,12,245,-40.19055908074935,0.26595744680851063,0.08955223880597014,0.1935483870967742
medium_load,random,-1,11004,192,29,36,127,0.15104166666666666,0.1875,0.9666666666666667,7.482758620689655,17.799999999999994,3.1958333333333333,12,201,-36.94363832282704,0.1588785046728972,0.15217391304347827,0.1282051282051282
medium_load,random,-1,11005,192,30,50,112,0.15625,0.2604166666666667,1.0,10.5,22.549999999999997,3.15,12,282,-39.84601646861049,0.1834862385321101,0.06382978723404255,0.19444444444444445
medium_load,random,-1,11006,192,32,40,120,0.16666666666666666,0.20833333333333334,1.0666666666666667,7.34375,14.899999999999999,3.022222222222222,12,224,-38.54227512619436,0.16216216216216217,0.20408163265306123,0.125
medium_load,random,-1,11007,192,35,47,110,0.18229166666666666,0.24479166666666666,1.1666666666666667,9.657142857142857,20.0,2.9055555555555554,11,259,-40.25574124242688,0.2247191011235955,0.15,0.13953488372093023
medium_load,random,-1,11008,192,24,45,123,0.125,0.234375,0.8,13.833333333333334,27.699999999999996,3.1569444444444446,15,256,-40.67711795088436,0.17346938775510204,0.06666666666666667,0.08823529411764706
medium_load,random,-1,11009,192,41,44,107,0.21354166666666666,0.22916666666666666,1.3666666666666667,9.170731707317072,20.0,2.873611111111111,11,256,-38.22373346625787,0.24210526315789474,0.1864406779661017,0.18421052631578946
medium_load,random,-1,11010,192,34,57,101,0.17708333333333334,0.296875,1.1333333333333333,9.970588235294118,22.699999999999996,2.904166666666667,11,257,-41.87725487972954,0.2619047619047619,0.12121212121212122,0.09523809523809523
medium_load,random,-1,11011,192,30,53,109,0.15625,0.2760416666666667,1.0,10.466666666666667,21.099999999999994,3.0236111111111112,14,246,-41.24420852505871,0.2073170731707317,0.10606060606060606,0.13636363636363635
medium_load,random,-1,11012,192,32,51,109,0.16666666666666666,0.265625,1.0666666666666667,9.40625,17.9,2.9916666666666667,13,261,-40.666015921827196,0.20224719101123595,0.1016949152542373,0.18181818181818182
medium_load,random,-1,11013,192,31,51,110,0.16145833333333334,0.265625,1.0333333333333334,9.258064516129032,19.0,2.951388888888889,15,244,-40.13847092979908,0.1875,0.06349206349206349,0.2727272727272727
