scenario,policy,metric,n,policy_seed_count,workload_seed_count,mean,std,policy_seed_mean_std,ci95_low,ci95_high,bootstrap_standard_error,ci_method,ci_resamples,confidence_level
fault_links,q_routing,throughput_packets_per_slot,400,8,50,2.7249166666666667,0.23546287741132205,0.04545353462079494,2.6572479166666665,2.7908375000000003,0.03422540845566042,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,q_routing,average_delay_slots,400,8,50,7.804969467420441,0.5256514691828803,0.07941702723838466,7.6741487363989105,7.941815597357574,0.06883847315013833,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,q_routing,p95_delay_slots,400,8,50,18.68975,1.8123137532863545,0.19341646406505425,18.283484375,19.072265624999996,0.20169521701905324,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,q_routing,mean_queue_packets,400,8,50,2.278618055555556,0.11834302865922436,0.018566243892007245,2.2453573784722223,2.3109276909722225,0.01675125795357699,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,q_routing,routing_switches,400,8,50,142.155,16.16165129035637,2.7057980074541472,137.80993749999996,146.4076875,2.198607497446865,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,q_routing,episode_reward,400,8,50,-5.711522193550056,1.6289533770362667,0.29269936082653564,-6.161850214832898,-5.251557077939232,0.23577047130403392,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,q_routing,global_delay_cost,400,8,50,0.23719281451983376,0.01719817867991199,0.002355498169265256,0.23306358229680776,0.2413601217144604,0.002133668224561159,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,q_routing,global_queue_cost,400,8,50,0.052813271604938275,0.0027287649876997703,0.0004344303433882918,0.05204721643518518,0.05357037229938271,0.00038854114951966754,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,q_routing,global_load_imbalance,400,8,50,0.6419987058822773,0.008722052725286217,0.001317428815528307,0.6397745299614463,0.6442746929349944,0.001145714082150972,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,q_routing,global_switch_cost,400,8,50,0.2600481660110845,0.029313763133814123,0.003881260854604236,0.25237626326566337,0.2678994749498491,0.0039051361770416322,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,q_routing,global_throughput_reward,400,8,50,0.15405284573521383,0.013880144135274665,0.0028815618115857053,0.1501832687717454,0.15795469173662352,0.001998107477374525,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,q_routing,global_control_overhead_ratio,400,8,50,0.0484924439056746,0.0009167737884826023,0.00023613540476399945,0.04823096113528619,0.04875482108871075,0.00013392718292177348,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,q_routing,global_drop_cost,400,8,50,0.04899379230198317,0.009584811369139594,0.0011884082085280604,0.04635541400285637,0.05144627879859689,0.0013085597855334815,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,random,delivery_ratio,50,1,50,0.17041666666666663,0.026827843852652657,0.0,0.1630208333333333,0.17760677083333332,0.003789342890157292,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,random,drop_rate,50,1,50,0.24822916666666664,0.029680133201033073,0.0,0.24020833333333333,0.25625,0.004150503394074808,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,random,throughput_packets_per_slot,50,1,50,1.0906666666666667,0.171698200656977,0.0,1.0426666666666666,1.138,0.02422517960669242,crossed_pigeonhole_bootstrap_percentile,5000,0.95
