scenario,reference,baseline,metric,n_paired_workloads,sigma_d_paired,observed_diff_ref_minus_base,mde_abs,mde_rel_to_baseline,alpha,power,wilcoxon_p,is_null_at_alpha,observed_below_mde
hotspot_high_load,mappo,global_dijkstra,routing_switches,50,9.408348509896594,50.3975,3.7276251357611683,0.043274032223835246,0.05,0.8,7.551804758280675e-10,False,False
hotspot_high_load,mappo,ospf_ecmp,delivery_ratio,50,0.0061560406703248674,-0.020559999999999974,0.0024390478217651843,0.008261237710896844,0.05,0.8,7.543270531852816e-10,False,False
hotspot_high_load,mappo,ospf_ecmp,drop_rate,50,0.0066949284033909285,0.010674999999999995,0.00265255728700421,0.016221607674927897,0.05,0.8,5.360476689990019e-09,False,False
hotspot_high_load,mappo,ospf_ecmp,throughput_packets_per_slot,50,0.10260067783874782,-0.3426666666666667,0.040650797029419754,0.008261237710896848,0.05,0.8,7.538154154994468e-10,False,False
hotspot_high_load,mappo,ospf_ecmp,average_delay_slots,50,0.25505796469756237,0.2119439658872934,0.10105498103972425,0.009752043768142737,0.05,0.8,9.364108866094512e-07,False,False
hotspot_high_load,mappo,ospf_ecmp,p95_delay_slots,50,0.9535598581427523,-0.44100000000000067,0.3778042120704609,0.01801555538936917,0.05,0.8,0.0018811994560959306,False,False
hotspot_high_load,mappo,ospf_ecmp,mean_queue_packets,50,0.058956399942158434,0.09039236111111112,0.023358760371940505,0.0034594751163827702,0.05,0.8,8.881784197001252e-15,False,False
hotspot_high_load,mappo,ospf_ecmp,routing_switches,50,9.485933799633035,50.8375,3.758364736434193,0.04385489774135581,0.05,0.8,7.550097219539461e-10,False,False
hotspot_high_load,mappo,q_routing,delivery_ratio,50,0.007786403966831795,0.03738500000000002,0.003085004250578264,0.013000713249660819,0.05,0.8,7.555220876380673e-10,False,False
hotspot_high_load,mappo,q_routing,drop_rate,50,0.007853888936607867,-0.01924,0.0031117420642720016,0.01608675815789284,0.05,0.8,7.543270531852816e-10,False,False
hotspot_high_load,mappo,q_routing,throughput_packets_per_slot,50,0.1297733994471966,0.6230833333333333,0.05141673750963774,0.01300071324966082,0.05,0.8,7.553512643873762e-10,False,False
hotspot_high_load,mappo,q_routing,average_delay_slots,50,0.3319004564820564,1.8990005864766892,0.13150028220699034,0.015157861831362425,0.05,0.8,1.7763568394002505e-15,False,False
hotspot_high_load,mappo,q_routing,p95_delay_slots,50,0.8945093285011118,0.4535000000000029,0.35440815713684015,0.017652885569538528,0.05,0.8,0.0010127502662588958,False,False
hotspot_high_load,mappo,q_routing,mean_queue_packets,50,0.08106642621736873,-0.3057847222222222,0.03211884080572958,0.004493221304464463,0.05,0.8,1.7763568394002505e-15,False,False
hotspot_high_load,mappo,q_routing,routing_switches,50,10.265496312444728,-80.2525,4.067230507573229,0.018761153685932144,0.05,0.8,7.550097219539461e-10,False,False
hotspot_high_load,mappo,random,delivery_ratio,50,0.015293472663932444,0.212,0.006059334755210664,0.09667094376532649,0.05,0.8,7.548390027588035e-10,False,False
hotspot_high_load,mappo,random,drop_rate,50,0.010373594077350074,-0.100045,0.004110059272383218,0.014987088945388046,0.05,0.8,7.543270531852816e-10,False,False
hotspot_high_load,mappo,random,throughput_packets_per_slot,50,0.2548912110655408,3.5333333333333328,0.10098891258684442,0.0966709437653265,0.05,0.8,7.555220876380673e-10,False,False
hotspot_high_load,mappo,random,average_delay_slots,50,1.0543588465744085,0.3991807572982944,0.4177411725839772,0.041054818357238496,0.05,0.8,0.011200519477185367,False,True
hotspot_high_load,mappo,random,p95_delay_slots,50,2.4916167349898806,-0.6839999999999992,0.9871884699277083,0.04653476336040862,0.05,0.8,0.07719592312590784,True,True
hotspot_high_load,mappo,random,mean_queue_packets,50,0.1580271101348638,-1.6138854166666667,0.06261097016663247,0.007403984252533486,0.05,0.8,1.7763568394002505e-15,False,False
hotspot_high_load,mappo,random,routing_switches,50,14.292897524395014,-210.4225,5.6629029014762775,0.016321486342737716,0.05,0.8,7.553512643873762e-10,False,False
low_load,mappo,delay_only,delivery_ratio,50,0.06578561150151432,0.55125,0.026064521179940753,0.07421304563744995,0.05,0.8,7.539859267508617e-10,False,False
low_load,mappo,delay_only,drop_rate,50,0.0505594301141119,-0.2815151515151515,0.02003184749638862,0.07032457099796004,0.05,0.8,7.502426705110603e-10,False,False
low_load,mappo,delay_only,throughput_packets_per_slot,50,0.14472834530333153,1.21275,0.05734194659586967,0.07421304563744995,0.05,0.8,7.538154154994468e-10,False,False
low_load,mappo,delay_only,average_delay_slots,50,0.8862666519842821,-4.154390029497622,0.35114237588545877,0.042972499838230385,0.05,0.8,1.7763568394002505e-15,False,False
low_load,mappo,delay_only,p95_delay_slots,50,1.8286900770658716,-8.327749999999998,0.7245342888411658,0.0481354164789507,0.05,0.8,1.7763568394002505e-15,False,False
low_load,mappo,delay_only,mean_queue_packets,50,0.05939619887921257,-0.53240625,0.023533010461711263,0.029214399690389505,0.05,0.8,1.7763568394002505e-15,False,False
low_load,mappo,delay_only,routing_switches,50,12.439736364422139,-40.73,4.928673072164062,0.11602337740499205,0.05,0.8,7.555220876380673e-10,False,False
low_load,mappo,full_heuristic,delivery_ratio,50,0.053674484918203196,0.31064393939393936,0.021266044611300966,0.03593340871341178,0.05,0.8,7.531337167878101e-10,False,False
low_load,mappo,full_heuristic,drop_rate,50,0.03609708921890755,-0.11242424242424243,0.014301810456816524,0.12354967148558776,0.05,0.8,7.426379562148058e-10,False,False
low_load,mappo,full_heuristic,throughput_packets_per_slot,50,0.11808386682004698,0.6834166666666667,0.04678529814486212,0.03593340871341177,0.05,0.8,7.539859267508617e-10,False,False
low_load,mappo,full_heuristic,average_delay_slots,50,0.5387065530338421,-2.6954607643697055,0.21343768098895366,0.03179752882991419,0.05,0.8,1.7763568394002505e-15,False,False
low_load,mappo,full_heuristic,p95_delay_slots,50,1.1705080224467674,-5.580750000000002,0.4637599384730513,0.03768873941268194,0.05,0.8,7.550097219539461e-10,False,False
low_load,mappo,full_heuristic,mean_queue_packets,50,0.04248732825708391,-0.31815625,0.016833648604305626,0.028469949720708567,0.05,0.8,7.555220876380673e-10,False,False
low_load,mappo,full_heuristic,routing_switches,50,7.710124539082573,-16.77,3.0547820376234207,0.1649450344289104,0.05,0.8,7.550097219539461e-10,False,False
